"User ID";"Datetime";"Loyality_Points";"Session"
754;"26-10-2022 12:14";4005.697;"S2"
289;"26-10-2022 12:14";3633.476;"S2"
671;"26-10-2022 12:14";130.6;"S2"
391;"26-10-2022 12:14";243.8;"S2"
946;"26-10-2022 12:14";5422.328;"S2"
27;"26-10-2022 12:14";2611.727;"S2"
710;"26-10-2022 12:14";1818.901;"S2"
658;"26-10-2022 12:14";1588.89;"S2"
247;"26-10-2022 12:15";2328.42;"S2"
137;"26-10-2022 12:15";2874.197;"S2"
748;"26-10-2022 12:15";1588.21;"S2"
542;"26-10-2022 12:15";2292.523;"S2"
247;"26-10-2022 12:15";2328.42;"S2"
137;"26-10-2022 12:15";2874.197;"S2"
407;"26-10-2022 12:15";4192.015;"S2"
424;"26-10-2022 12:15";1306.377;"S2"
754;"26-10-2022 12:15";4005.697;"S2"
